Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.15V,0.65V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.588996113,-46.6975662
25.1188643,0.45424662,-48.2631579
39.8107171,0.360108505,-48.972612
63.0957344,0.2844999,-50.9439603
100,0.220113708,-52.2566655
158.489319,0.166548172,-53.9387773
251.188643,0.125840354,-55.2673084
398.107171,0.0936196224,-56.0254854
630.957344,0.0693932952,-56.0456802
1000,0.0512325939,-55.0470585
1584.89319,0.0381061849,-53.0383943
2511.88643,0.0286555966,-49.8402975
3981.07171,0.0221122324,-45.7364767
6309.57344,0.0175279615,-40.802348
10000,0.0144791618,-35.8888235
15848.9319,0.0123191163,-31.0293886
25118.8643,0.0106972032,-27.6597934
39810.7171,0.00947771084,-24.5593805
63095.7344,0.00850460603,-21.8365263
100000,0.00771585766,-19.6196953
158489.319,0.00709378916,-17.8176857
200000,0.00681297647,-17.3814539
