Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-1.05V,2.95V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.72068712,-0.867856545
25.1188643,1.96064173,-1.00934326
39.8107171,1.95304127,-1.34296166
63.0957344,1.94833388,-1.82715452
100,1.91905075,-1.86896712
158.489319,1.89381763,-2.06243584
251.188643,1.17503492,-2.33911478
398.107171,1.84978473,-2.73865975
630.957344,1.8246733,-3.12790436
1000,1.79339705,-3.67245204
1584.89319,1.76914605,-4.41729482
2511.88643,1.73501523,-5.46522666
3981.07171,1.69668202,-6.97823902
6309.57344,1.64664575,-9.11040577
10000,1.5875378,-12.101141
15848.9319,1.51277204,-16.2572442
25118.8643,1.41054215,-22.060716
39810.7171,1.28819931,-30.1197921
63095.7344,1.11666222,-40.939953
100000,0.890020065,-54.3816625
158489.319,0.639420837,-68.9049451
200000,0.518715337,-75.8264912
