Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.23
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,2V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.15V,0.65V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.423719317,-46.0580611
25.1188643,0.462485665,-46.6108254
39.8107171,0.367473842,-47.5579836
63.0957344,0.292904555,-48.8185322
100,0.228538608,-49.2405095
158.489319,0.175506258,-50.7802769
251.188643,0.13339703,-51.2068484
398.107171,0.101380239,-50.8521421
630.957344,0.076966774,-49.5288319
1000,0.0591417187,-47.2921344
1584.89319,0.0462730112,-43.7556586
2511.88643,0.0371056784,-39.8189274
3981.07171,0.030630521,-36.081454
6309.57344,0.0260376013,-32.6073352
10000,0.0223701284,-29.7163577
15848.9319,0.0181544734,-27.6818796
25118.8643,0.0169790261,-25.8552045
39810.7171,0.0148889813,-23.9413596
63095.7344,0.0132374595,-21.673381
100000,0.0120358455,-19.8339973
158489.319,0.0109909923,-18.125076
200000,0.0105897316,-17.8904535
