sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,0.0059,12280,1.8088,20,doc,1cm,14.51,14.51,-0.46,0_0
1,5,1.3529,12280,2.4825,25.1188643,doc,1cm,4555.29,4550.95,-270.24,0_0
1,5,1.921,12280,2.5945,39.8107171,doc,1cm,7661.54,7645.65,-562.03,0_0
1,5,1.8952,12280,4.2567,63.0957344,doc,1cm,7495.83,7455.39,-891.16,0_0
1,5,1.8428,12280,5.2532,100,doc,1cm,7167.61,7112.37,-1031.28,0_0
1,5,1.7842,12280,6.7005,158.489319,doc,1cm,6813.23,6733.85,-1221.63,0_0
1,5,1.708,12280,8.407,251.188643,doc,1cm,6371.28,6265.14,-1391.24,0_0
1,5,1.6193,12280,10.2495,398.107171,doc,1cm,5881.92,5751.83,-1513.68,0_0
1,5,1.5181,12280,12.0444,630.957344,doc,1cm,5354.05,5210.37,-1561.3,0_0
1,5,1.4128,12280,13.6083,1000,doc,1cm,4836.41,4691.75,-1538.67,0_0
1,5,1.2975,12280,14.8723,1584.89319,doc,1cm,4303.39,4171.08,-1445.76,0_0
1,5,1.1916,12280,15.6421,2511.88643,doc,1cm,3842.26,3728.74,-1319.96,0_0
1,5,1.1,12280,16.1065,3981.07171,doc,1cm,3463.59,3367.93,-1197.89,0_0
1,5,0.9775,12280,16.4322,6309.57344,doc,1cm,2984.14,2912.23,-1024.02,0_0
1,5,0.9429,12280,17.1811,10000,doc,1cm,2853.96,2782.78,-1013.07,0_0
1,5,0.879,12280,18.6502,15848.9319,doc,1cm,2619.3,2549.94,-989.4,0_0
1,5,0.82,12280,21.5515,25118.8643,doc,1cm,2409.0,2332.41,-1024.88,0_0
1,5,0.7588,12280,26.6242,39810.7171,doc,1cm,2197.03,2102.89,-1111.03,0_0
1,5,0.6831,12280,34.5219,63095.7344,doc,1cm,1943.17,1825.23,-1198.16,0_0
1,5,0.5797,12280,45.4316,100000,doc,1cm,1610.46,1479.38,-1192.28,0_0
1,5,0.4513,12280,57.4698,158489.319,doc,1cm,1218.36,1106.58,-1025.71,0_0
1,5,0.383,12280,63.8837,200000,doc,1cm,1018.68,925.39,-900.02,0_0
1,5,1.9605,12280,1.6258,20,ngang,1cm,7920.69,7913.93,-369.36,0_0
1,5,1.952,12280,1.9601,25.1188643,ngang,1cm,7864.36,7854.7,-440.71,0_0
1,5,1.9294,12280,2.344,39.8107171,ngang,1cm,7716.09,7702.9,-513.0,0_0
1,5,1.9098,12280,4.0225,63.0957344,ngang,1cm,7589.26,7552.05,-857.17,0_0
1,5,1.8631,12280,4.5096,100,ngang,1cm,7293.46,7250.95,-908.72,0_0
1,5,1.798,12280,6.4735,158.489319,ngang,1cm,6895.52,6819.25,-1200.55,0_0
1,5,1.7286,12280,8.2471,251.188643,ngang,1cm,6488.72,6382.09,-1399.2,0_0
1,5,1.6379,12280,10.0755,398.107171,ngang,1cm,5982.4,5851.59,-1522.44,0_0
1,5,1.5334,12280,11.8221,630.957344,ngang,1cm,5431.88,5288.69,-1562.8,0_0
