sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,0.463,12280,34.0291,20,doc,1cm,1253.17,1206.62,-744.19,0_0
1,5,1.639,12280,34.8275,25.1188643,doc,1cm,5988.37,4752.68,-4038.26,0_0
1,5,0.8796,12280,33.4412,39.8107171,doc,1cm,2621.47,2414.23,-1614.55,0_0
1,5,1.1916,12280,31.7168,63.0957344,doc,1cm,3842.26,3422.14,-2362.15,0_0
1,5,1.0312,12280,28.8018,100,doc,1cm,3190.67,2951.48,-1791.52,0_0
1,5,0.9124,12280,25.9749,158.489319,doc,1cm,2741.04,2597.65,-1391.71,0_0
1,5,0.8127,12280,23.8861,251.188643,doc,1cm,2383.39,2292.31,-1108.39,0_0
1,5,0.74,12280,21.8567,398.107171,doc,1cm,2133.15,2072.35,-905.55,0_0
1,5,0.6816,12280,20.6811,630.957344,doc,1cm,1938.23,1893.59,-774.32,0_0
1,5,0.6315,12280,20.565,1000,doc,1cm,1775.17,1738.47,-698.96,0_0
1,5,0.5839,12280,21.7232,1584.89319,doc,1cm,1623.67,1589.83,-666.25,0_0
1,5,0.5295,12280,24.1586,2511.88643,doc,1cm,1454.48,1421.45,-650.67,0_0
1,5,0.4712,12280,27.6865,3981.07171,doc,1cm,1277.68,1244.88,-638.62,0_0
1,5,0.4084,12280,31.8284,6309.57344,doc,1cm,1092.24,1061.28,-609.51,0_0
1,5,0.3401,12280,35.8052,10000,doc,1cm,896.25,870.43,-546.43,0_0
1,5,0.2749,12280,38.9013,15848.9319,doc,1cm,714.43,695.39,-462.13,0_0
1,5,0.2182,12280,40.5831,25118.8643,doc,1cm,560.35,547.74,-372.62,0_0
1,5,0.1723,12280,40.6364,39810.7171,doc,1cm,438.27,430.56,-290.44,0_0
1,5,0.1371,12280,39.0198,63095.7344,doc,1cm,346.21,341.77,-221.25,0_0
1,5,0.1112,12280,36.1545,100000,doc,1cm,279.32,276.82,-167.04,0_0
1,5,0.0928,12280,32.6282,158489.319,doc,1cm,232.23,230.81,-126.81,0_0
1,5,0.0855,12280,30.8808,200000,doc,1cm,213.64,212.56,-111.0,0_0
1,5,1.678,12280,38.557,20,doc,1cm,6202.84,4658.08,-4370.34,1_0
1,5,1.4982,12280,37.3797,25.1188643,doc,1cm,5253.84,4199.61,-3640.69,1_0
1,5,1.2472,12280,36.0949,39.8107171,doc,1cm,4081.12,3487.87,-2737.9,1_0
1,5,1.0503,12280,34.0145,63.0957344,doc,1cm,3265.48,2927.97,-2073.61,1_0
1,5,0.8928,12280,30.7277,100,doc,1cm,2669.36,2484.6,-1545.57,1_0
1,5,0.7776,12280,27.2554,158.489319,doc,1cm,2261.49,2156.95,-1169.75,1_0
1,5,0.6921,12280,24.0566,251.188643,doc,1cm,1972.88,1910.92,-904.14,1_0
1,5,0.6277,12280,21.4325,398.107171,doc,1cm,1762.95,1723.77,-720.32,1_0
1,5,0.5784,12280,19.7606,630.957344,doc,1cm,1606.38,1578.84,-603.63,1_0
1,5,0.5341,12280,19.2237,1000,doc,1cm,1468.63,1446.99,-533.42,1_0
1,5,0.4939,12280,19.8964,1584.89319,doc,1cm,1345.97,1326.68,-501.0,1_0
1,5,0.4503,12280,21.5682,2511.88643,doc,1cm,1215.4,1197.13,-483.64,1_0
1,5,0.4053,12280,24.0964,3981.07171,doc,1cm,1083.22,1065.37,-473.34,1_0
1,5,0.3569,12280,27.0697,6309.57344,doc,1cm,943.92,927.08,-454.33,1_0
1,5,0.3069,12280,30.0175,10000,doc,1cm,803.04,788.27,-420.15,1_0
1,5,0.259,12280,32.6018,15848.9319,doc,1cm,670.85,658.86,-374.4,1_0
1,5,0.2149,12280,34.6568,25118.8643,doc,1cm,551.5,542.43,-322.33,1_0
1,5,0.1764,12280,35.9103,39810.7171,doc,1cm,449.08,442.68,-269.15,1_0
1,5,0.1439,12280,36.1194,63095.7344,doc,1cm,363.89,359.65,-218.3,1_0
1,5,0.1183,12280,35.2596,100000,doc,1cm,297.59,294.88,-174.37,1_0
