Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.24V,1.36V
Phase Unit,Degree
Phase Axis Range,-50Deg,-10Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,1.10352563,-45.0973789
25.1188643,0.96190581,-51.1959524
39.8107171,0.764365062,-50.8102625
63.0957344,0.597067648,-49.5138878
100,0.412402596,-46.6673517
158.489319,0.366926433,-42.7295633
251.188643,0.296278048,-37.9865681
398.107171,0.249236688,-32.9190495
630.957344,0.214174939,-28.1765888
1000,0.193002,-24.1762084
1584.89319,0.175682079,-21.2299623
2511.88643,0.160611664,-19.4331234
3981.07171,0.149075021,-18.7143391
6309.57344,0.137859744,-18.8993515
10000,0.12627417,-19.7833816
15848.9319,0.113899863,-21.101172
25118.8643,0.100874628,-22.5028876
39810.7171,0.0883354093,-23.6302247
63095.7344,0.0782515003,-24.1680812
100000,0.0685472381,-23.9942652
158489.319,0.0594769278,-23.3533366
200000,0.055980434,-22.891438
