Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.26V,1.34V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.573238745,-53.0576523
25.1188643,1.09610724,-54.7146597
39.8107171,0.840619619,-43.7458401
63.0957344,0.641956869,-56.9180711
100,0.48355784,-56.32665
158.489319,0.364530185,-55.0496002
251.188643,0.274884488,-52.72356
398.107171,0.209684357,-49.3194621
630.957344,0.162945796,-44.8416064
1000,0.130438592,-39.5765314
1584.89319,0.107977191,-33.8824
2511.88643,0.0927040237,-28.2809551
3981.07171,0.0823645722,-23.1247828
6309.57344,0.0750608843,-18.7775369
10000,0.0701371729,-15.3258708
15848.9319,0.0664099271,-12.8467079
25118.8643,0.0633967318,-11.2590323
39810.7171,0.0608336342,-10.4554937
63095.7344,0.0584603609,-10.1447279
100000,0.0561573694,-10.3268836
158489.319,0.0537849038,-11.0779646
200000,0.0525693674,-11.6870807
