Instrument Name,SDS1204X-E
Serial Number,SDSMMGKX7R3728
Software Version,8.3.6.1.37R17
Awg Type,LAN
Awg IP Address,192.168.11.19
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,5V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,HighZ
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,20Hz
Stop Frequency,200000Hz
Sweep Line,50
Sweep Log(dec),5
Amplitude Mode,Vout
Amplitude Unit,Vpp
Amplitude Axis Range,-0.3V,1.3V
Phase Unit,Degree
Phase Axis Range,-80Deg,0Deg
Bode Data
Number of Points,22
Frequency(Hz),CH2 Amplitude(V),CH2 Phase(Deg)
20,0.984178348,-56.1786359
25.1188643,0.858179919,-56.9648652
39.8107171,0.27054446,-45.3007208
63.0957344,0.489999413,-47.9015261
100,0.36758462,-55.7206874
158.489319,0.275961888,-52.8939399
251.188643,0.210856204,-48.8830089
398.107171,0.163886105,-43.933008
630.957344,0.132270158,-38.3275119
1000,0.11123809,-32.6644232
1584.89319,0.0964929883,-27.376885
2511.88643,0.0857721596,-22.9099105
3981.07171,0.0784924807,-19.275894
6309.57344,0.0729549126,-16.544316
10000,0.0685397243,-14.7059618
15848.9319,0.0648240195,-13.8367318
25118.8643,0.0612110094,-13.6974875
39810.7171,0.0577231327,-14.1360222
63095.7344,0.053998521,-14.8017155
100000,0.0502061269,-15.5151453
158489.319,0.0463225165,-16.3028042
200000,0.0444561648,-16.7432907
