sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,1.7207,12280,0.8679,20,doc,1cm,6443.51,6442.33,-148.79,0_0
1,5,1.9606,12280,1.0093,25.1188643,doc,1cm,7921.36,7918.75,-229.46,0_0
1,5,1.953,12280,1.343,39.8107171,doc,1cm,7870.97,7866.42,-302.54,0_0
1,5,1.9483,12280,1.8272,63.0957344,doc,1cm,7839.93,7831.6,-409.14,0_0
1,5,1.9191,12280,1.869,100,doc,1cm,7649.24,7641.02,-404.44,0_0
1,5,1.8938,12280,2.0624,158.489319,doc,1cm,7486.92,7477.41,-433.16,0_0
1,5,1.175,12280,2.3391,251.188643,doc,1cm,3772.29,3769.76,-201.12,0_0
1,5,1.8498,12280,2.7387,398.107171,doc,1cm,7210.83,7195.5,-545.69,0_0
1,5,1.8247,12280,3.1279,630.957344,doc,1cm,7056.76,7037.78,-604.69,0_0
1,5,1.7934,12280,3.6725,1000,doc,1cm,6868.01,6843.49,-683.51,0_0
1,5,1.7691,12280,4.4173,1584.89319,doc,1cm,6723.99,6690.3,-797.44,0_0
1,5,1.735,12280,5.4652,2511.88643,doc,1cm,6525.51,6477.58,-944.77,0_0
1,5,1.6967,12280,6.9782,3981.07171,doc,1cm,6307.47,6235.63,-1146.7,0_0
1,5,1.6466,12280,9.1104,6309.57344,doc,1cm,6029.78,5920.38,-1397.72,0_0
1,5,1.5875,12280,12.1011,10000,doc,1cm,5712.67,5544.66,-1703.12,0_0
1,5,1.5128,12280,16.2572,15848.9319,doc,1cm,5327.25,5074.73,-2037.01,0_0
1,5,1.4105,12280,22.0607,25118.8643,doc,1cm,4825.45,4467.25,-2337.24,0_0
1,5,1.2882,12280,30.1198,39810.7171,doc,1cm,4261.84,3783.9,-2557.93,0_0
1,5,1.1167,12280,40.94,63095.7344,doc,1cm,3531.29,2989.45,-2522.45,0_0
1,5,0.89,12280,54.3817,100000,doc,1cm,2659.17,2179.23,-2155.5,0_0
1,5,0.6394,12280,68.9049,158489.319,doc,1cm,1800.63,1481.34,-1585.12,0_0
1,5,0.5187,12280,75.8265,200000,doc,1cm,1421.38,1189.04,-1286.67,0_0
1,5,1.9665,12280,0.8704,20,doc,1cm,7960.65,7958.68,-199.27,0_0
1,5,0.0295,12280,0.8341,25.1188643,doc,1cm,72.88,72.88,-1.07,0_0
1,5,1.9535,12280,1.3544,39.8107171,doc,1cm,7874.28,7869.65,-305.29,0_0
1,5,1.9459,12280,1.8338,63.0957344,doc,1cm,7824.12,7815.77,-409.46,0_0
1,5,1.9184,12280,1.8356,100,doc,1cm,7644.71,7636.8,-396.9,0_0
1,5,1.893,12280,2.0626,158.489319,doc,1cm,7481.83,7472.33,-432.8,0_0
1,5,1.8696,12280,2.3798,251.188643,doc,1cm,7334.11,7322.06,-485.62,0_0
1,5,1.8504,12280,2.6649,398.107171,doc,1cm,7214.54,7200.01,-531.43,0_0
1,5,1.8235,12280,3.0497,630.957344,doc,1cm,7049.45,7031.45,-588.84,0_0
1,5,1.7951,12280,3.5504,1000,doc,1cm,6878.16,6855.16,-662.29,0_0
1,5,1.7697,12280,4.2231,1584.89319,doc,1cm,6727.52,6696.68,-763.31,0_0
1,5,1.739,12280,5.1907,2511.88643,doc,1cm,6548.58,6504.94,-902.35,0_0
1,5,1.7018,12280,6.6225,3981.07171,doc,1cm,6336.21,6270.74,-1096.34,0_0
1,5,1.6564,12280,8.6386,6309.57344,doc,1cm,6083.44,5982.85,-1343.82,0_0
1,5,1.6,12280,11.4673,10000,doc,1cm,5778.82,5623.4,-1644.11,0_0
1,5,1.5287,12280,15.4638,15848.9319,doc,1cm,5407.9,5170.36,-1985.7,0_0
1,5,1.4367,12280,21.1063,25118.8643,doc,1cm,4951.22,4601.76,-2325.29,0_0
1,5,1.3145,12280,29.014,39810.7171,doc,1cm,4379.88,3905.34,-2569.91,0_0
1,5,1.1496,12280,39.7079,63095.7344,doc,1cm,3666.4,3109.77,-2580.17,0_0
1,5,0.9275,12280,53.091,100000,doc,1cm,2796.73,2285.69,-2244.21,0_0
1,5,0.6676,12280,67.5655,158489.319,doc,1cm,1892.28,1550.75,-1654.66,0_0
1,5,0.5437,12280,74.4557,200000,doc,1cm,1498.25,1247.75,-1349.16,0_0
1,5,0.0235,12280,44.4924,20,doc,1cm,57.99,57.83,-40.72,1_0
1,5,0.7875,12280,47.0698,25.1188643,doc,1cm,2295.67,2010.82,-1747.74,1_0
1,5,0.6142,12280,51.644,39.8107171,doc,1cm,1719.73,1533.66,-1371.27,1_0
1,5,0.4708,12280,55.2075,63.0957344,doc,1cm,1276.48,1161.79,-1053.43,1_0
1,5,0.3498,12280,57.0979,100,doc,1cm,923.73,860.03,-776.53,1_0
1,5,0.2586,12280,57.9321,158.489319,doc,1cm,669.76,635.37,-567.88,1_0
1,5,0.19,12280,57.521,251.188643,doc,1cm,485.07,467.23,-409.78,1_0
1,5,0.1393,12280,55.8083,398.107171,doc,1cm,351.93,343.01,-291.9,1_0
1,5,0.1032,12280,52.7474,630.957344,doc,1cm,258.8,254.44,-206.83,1_0
1,5,0.0782,12280,48.3994,1000,doc,1cm,195.11,193.0,-146.63,1_0
1,5,0.0611,12280,43.1131,1584.89319,doc,1cm,151.92,150.88,-104.41,1_0
1,5,0.0496,12280,37.324,2511.88643,doc,1cm,123.04,122.52,-75.04,1_0
1,5,0.0418,12280,31.7673,3981.07171,doc,1cm,103.53,103.26,-54.82,1_0
1,5,0.0365,12280,26.8514,6309.57344,doc,1cm,90.3,90.16,-41.02,1_0
1,5,0.0326,12280,22.8322,10000,doc,1cm,80.59,80.51,-31.44,1_0
1,5,0.0297,12280,19.654,15848.9319,doc,1cm,73.38,73.33,-24.81,1_0
1,5,0.0275,12280,17.1144,25118.8643,doc,1cm,67.91,67.88,-20.09,1_0
1,5,0.0256,12280,15.4207,39810.7171,doc,1cm,63.2,63.17,-16.88,1_0
1,5,0.0239,12280,14.1676,63095.7344,doc,1cm,58.98,58.96,-14.5,1_0
1,5,0.0225,12280,13.4777,100000,doc,1cm,55.51,55.5,-12.99,1_0
1,5,0.0212,12280,13.2738,158489.319,doc,1cm,52.29,52.28,-12.05,1_0
1,5,0.0207,12280,13.4488,200000,doc,1cm,51.05,51.04,-11.92,1_0
1,5,0.0059,12280,42.8836,20,ngang,1cm,14.51,14.5,-9.88,1_0
1,5,0.8218,12280,45.5785,25.1188643,ngang,1cm,2415.32,2116.13,-1808.83,1_0
1,5,0.648,12280,50.008,39.8107171,ngang,1cm,1828.46,1629.06,-1434.1,1_0
1,5,0.5002,12280,53.7975,63.0957344,ngang,1cm,1365.05,1239.5,-1111.54,1_0
1,5,0.3753,12280,56.0713,100,ngang,1cm,996.54,924.69,-829.64,1_0
1,5,0.2788,12280,57.3586,158.489319,ngang,1cm,725.17,685.55,-611.47,1_0
1,5,0.1397,12280,57.5896,251.188643,ngang,1cm,352.97,343.48,-298.36,1_0
1,5,0.1499,12280,56.4801,398.107171,ngang,1cm,379.53,368.95,-317.14,1_0
1,5,0.1104,12280,54.0256,630.957344,ngang,1cm,277.26,272.04,-225.16,1_0
1,5,0.0827,12280,50.0647,1000,ngang,1cm,206.53,204.0,-159.07,1_0
1,5,0.0637,12280,44.9256,1584.89319,ngang,1cm,158.47,157.25,-112.49,1_0
1,5,0.051,12280,38.821,2511.88643,ngang,1cm,126.55,125.96,-79.78,1_0
1,5,0.0426,12280,32.9359,3981.07171,ngang,1cm,105.52,105.23,-57.71,1_0
1,5,0.037,12280,27.3887,6309.57344,ngang,1cm,91.55,91.39,-42.36,1_0
1,5,0.0331,12280,22.8463,10000,ngang,1cm,81.84,81.75,-31.95,1_0
1,5,0.0299,12280,19.3735,15848.9319,ngang,1cm,73.88,73.82,-24.64,1_0
1,5,0.0276,12280,16.8126,25118.8643,ngang,1cm,68.16,68.13,-19.82,1_0
1,5,0.0258,12280,15.0517,39810.7171,ngang,1cm,63.69,63.67,-16.62,1_0
1,5,0.0243,12280,13.8376,63095.7344,ngang,1cm,59.97,59.95,-14.41,1_0
1,5,0.0232,12280,13.111,100000,ngang,1cm,57.24,57.23,-13.04,1_0
1,5,0.022,12280,13.1682,158489.319,ngang,1cm,54.27,54.26,-12.42,1_0
1,5,0.0214,12280,13.4367,200000,ngang,1cm,52.78,52.77,-12.32,1_0
1,5,0.4237,12280,46.0581,20,doc,1cm,1136.95,1070.54,-842.29,2_0
1,5,0.4625,12280,46.6108,25.1188643,doc,1cm,1251.68,1169.31,-936.46,2_0
1,5,0.3675,12280,47.558,39.8107171,doc,1cm,974.18,922.69,-735.01,2_0
1,5,0.2929,12280,48.8185,63.0957344,doc,1cm,764.12,731.03,-584.5,2_0
1,5,0.2285,12280,49.2405,100,doc,1cm,588.07,568.21,-451.06,2_0
1,5,0.1755,12280,50.7803,158.489319,doc,1cm,446.71,434.6,-348.99,2_0
1,5,0.1334,12280,51.2068,251.188643,doc,1cm,336.61,329.63,-264.0,2_0
1,5,0.1014,12280,50.8521,398.107171,doc,1cm,254.19,250.26,-198.13,2_0
1,5,0.077,12280,49.5288,630.957344,doc,1cm,192.07,189.93,-146.76,2_0
1,5,0.0591,12280,47.2921,1000,doc,1cm,146.89,145.74,-108.38,2_0
1,5,0.0463,12280,43.7557,1584.89319,doc,1cm,114.78,114.17,-79.7,2_0
1,5,0.0371,12280,39.8189,2511.88643,doc,1cm,91.8,91.47,-59.02,2_0
1,5,0.0306,12280,36.0815,3981.07171,doc,1cm,75.62,75.43,-44.7,2_0
1,5,0.026,12280,32.6073,6309.57344,doc,1cm,64.19,64.08,-34.71,2_0
1,5,0.0224,12280,29.7164,10000,doc,1cm,55.26,55.19,-27.48,2_0
