sample,Vin,Vout,R1,phase,freq,type,length,Z,Re(Z),Im(Z),state
1,5,2.0375,12280,23.297,20,doc,1cm,8445.74,7101.23,-4740.32,0_0
1,5,1.7133,12280,22.5186,25.1188643,doc,1cm,6401.35,5710.56,-3327.24,0_0
1,5,1.7523,12280,21.0075,39.8107171,doc,1cm,6625.69,5966.63,-3293.17,0_0
1,5,1.6222,12280,19.7921,63.0957344,doc,1cm,5897.51,5440.42,-2726.95,0_0
1,5,1.498,12280,18.6206,100,doc,1cm,5252.84,4937.05,-2250.77,0_0
1,5,1.3919,12280,18.3498,158.489319,doc,1cm,4737.27,4492.91,-1960.14,0_0
1,5,1.2895,12280,18.94,251.188643,doc,1cm,4267.64,4061.58,-1776.48,0_0
1,5,1.1934,12280,20.2997,398.107171,doc,1cm,3849.88,3662.44,-1669.0,0_0
1,5,1.0943,12280,22.677,630.957344,doc,1cm,3440.61,3259.73,-1608.91,0_0
1,5,0.9799,12280,25.7589,1000,doc,1cm,2993.25,2823.05,-1525.96,0_0
1,5,0.8585,12280,29.6036,1584.89319,doc,1cm,2545.55,2389.31,-1425.05,0_0
1,5,0.73,12280,33.6038,2511.88643,doc,1cm,2099.39,1967.61,-1275.22,0_0
1,5,0.6048,12280,37.2843,3981.07171,doc,1cm,1689.79,1588.06,-1094.45,0_0
1,5,0.4882,12280,40.0928,6309.57344,doc,1cm,1328.76,1257.76,-897.76,0_0
1,5,0.3892,12280,42.0947,10000,doc,1cm,1036.56,989.73,-719.54,0_0
1,5,0.3094,12280,43.3324,15848.9319,doc,1cm,810.01,780.03,-570.64,0_0
1,5,0.2445,12280,44.0204,25118.8643,doc,1cm,631.37,612.7,-447.71,0_0
1,5,0.1927,12280,44.3165,39810.7171,doc,1cm,492.24,480.79,-349.39,0_0
1,5,0.1516,12280,43.8289,63095.7344,doc,1cm,383.97,377.16,-269.38,0_0
1,5,0.1198,12280,42.4338,100000,doc,1cm,301.45,297.51,-205.68,0_0
1,5,0.0952,12280,40.124,158489.319,doc,1cm,238.35,236.13,-155.14,0_0
1,5,0.0856,12280,38.6348,200000,doc,1cm,213.9,212.23,-134.83,0_0
1,5,2.1593,12280,20.2841,20,ngang,1cm,9334.39,8005.61,-4885.13,0_0
1,5,0.275,12280,25.1512,25.1188643,ngang,1cm,714.71,706.44,-317.73,0_0
1,5,1.7028,12280,24.1334,39.8107171,ngang,1cm,6341.86,5577.97,-3458.57,0_0
1,5,0.5562,12280,23.4185,63.0957344,ngang,1cm,1537.0,1502.11,-671.75,0_0
1,5,1.412,12280,21.4345,100,ngang,1cm,4832.6,4491.71,-2287.47,0_0
1,5,1.292,12280,20.816,158.489319,ngang,1cm,4278.79,4031.4,-1931.86,0_0
1,5,1.187,12280,21.2775,251.188643,ngang,1cm,3822.81,3621.17,-1723.19,0_0
1,5,1.0873,12280,22.3023,398.107171,ngang,1cm,3412.49,3240.24,-1571.4,0_0
1,5,0.9866,12280,24.1167,630.957344,ngang,1cm,3018.75,2865.45,-1458.68,0_0
1,5,0.8785,12280,26.9114,1000,ngang,1cm,2617.49,2478.57,-1361.0,0_0
1,5,0.769,12280,30.356,1584.89319,ngang,1cm,2231.94,2107.69,-1258.83,0_0
1,5,0.652,12280,34.0939,2511.88643,ngang,1cm,1841.44,1738.28,-1120.58,0_0
1,5,0.5356,12280,37.5692,3981.07171,ngang,1cm,1473.25,1395.38,-952.93,0_0
1,5,0.4339,12280,40.1887,6309.57344,ngang,1cm,1166.92,1112.19,-785.97,0_0
1,5,0.3454,12280,41.8529,10000,ngang,1cm,911.25,875.56,-627.6,0_0
1,5,0.2739,12280,42.6394,15848.9319,ngang,1cm,711.68,689.28,-494.01,0_0
1,5,0.2172,12280,42.7426,25118.8643,ngang,1cm,557.67,543.9,-385.95,0_0
1,5,0.1728,12280,42.2569,39810.7171,ngang,1cm,439.59,431.24,-300.4,0_0
1,5,0.138,12280,41.0875,63095.7344,ngang,1cm,348.55,343.58,-232.23,0_0
1,5,0.1111,12280,39.209,100000,ngang,1cm,279.06,276.15,-178.55,0_0
1,5,0.0906,12280,36.7802,158489.319,ngang,1cm,226.62,224.92,-137.17,0_0
1,5,0.0822,12280,35.3258,200000,ngang,1cm,205.26,203.97,-119.92,0_0
10,5,1.7153,12280,28.6255,20,doc,1cm,6412.73,5369.02,-3915.66,0_0
10,5,1.8003,12280,27.9304,25.1188643,doc,1cm,6909.3,5734.36,-4197.45,0_0
10,5,0.8792,12280,26.2127,39.8107171,doc,1cm,2620.02,2487.47,-1333.2,0_0
10,5,1.4241,12280,24.1834,63.0957344,doc,1cm,4890.5,4454.9,-2551.88,0_0
10,5,1.2885,12280,22.29,100,doc,1cm,4263.18,3984.54,-2036.05,0_0
10,5,1.1754,12280,21.5966,158.489319,doc,1cm,3773.97,3572.34,-1719.01,0_0
10,5,1.079,12280,21.3044,251.188643,doc,1cm,3379.27,3224.53,-1493.98,0_0
10,5,0.9872,12280,21.8336,398.107171,doc,1cm,3021.04,2893.7,-1341.0,0_0
10,5,0.8973,12280,23.205,630.957344,doc,1cm,2685.75,2574.64,-1236.38,0_0
10,5,0.8064,12280,25.3378,1000,doc,1cm,2361.36,2261.52,-1153.97,0_0
10,5,0.7108,12280,28.2145,1584.89319,doc,1cm,2035.02,1945.62,-1072.32,0_0
10,5,0.6135,12280,31.5268,2511.88643,doc,1cm,1717.49,1640.21,-977.67,0_0
10,5,0.5159,12280,34.9542,3981.07171,doc,1cm,1412.83,1350.24,-862.64,0_0
10,5,0.4252,12280,37.8852,6309.57344,doc,1cm,1141.35,1094.41,-734.57,0_0
10,5,0.3428,12280,40.087,10000,doc,1cm,903.89,871.46,-602.53,0_0
10,5,0.2733,12280,41.3746,15848.9319,doc,1cm,710.04,688.94,-481.75,0_0
10,5,0.2175,12280,41.7637,25118.8643,doc,1cm,558.47,545.25,-379.72,0_0
10,5,0.1732,12280,41.3153,39810.7171,doc,1cm,440.64,432.6,-295.88,0_0
10,5,0.1384,12280,40.015,63095.7344,doc,1cm,349.59,344.83,-228.05,0_0
10,5,0.1122,12280,37.891,100000,doc,1cm,281.89,279.11,-175.36,0_0
10,5,0.0922,12280,35.2419,158489.319,doc,1cm,230.7,229.08,-134.68,0_0
10,5,0.0843,12280,33.7645,200000,doc,1cm,210.59,209.35,-118.35,0_0
10,5,1.726,12280,25.07,20,ngang,1cm,6473.82,5620.86,-3637.46,0_0
10,5,0.2328,12280,30.1311,25.1188643,ngang,1cm,599.68,591.46,-311.42,0_0
10,5,0.1861,12280,16.2372,39.8107171,ngang,1cm,474.73,473.21,-137.43,0_0
10,5,1.2344,12280,26.8862,63.0957344,ngang,1cm,4025.5,3679.12,-2209.27,0_0
10,5,1.1031,12280,24.9961,100,ngang,1cm,3476.11,3254.55,-1764.59,0_0
10,5,0.9871,12280,25.6511,158.489319,ngang,1cm,3020.66,2848.46,-1536.44,0_0
10,5,0.8901,12280,24.0258,251.188643,ngang,1cm,2659.54,2543.33,-1259.82,0_0
10,5,0.8042,12280,24.4399,398.107171,ngang,1cm,2353.68,2261.05,-1114.82,0_0
10,5,0.7205,12280,25.6515,630.957344,ngang,1cm,2067.47,1990.23,-1006.65,0_0
10,5,0.638,12280,27.5137,1000,ngang,1cm,1796.11,1730.42,-916.34,0_0
10,5,0.556,12280,29.8862,1584.89319,ngang,1cm,1536.38,1480.87,-830.24,0_0
10,5,0.2658,12280,32.4181,2511.88643,ngang,1cm,689.46,676.91,-383.28,0_0
10,5,0.4048,12280,34.9302,3981.07171,ngang,1cm,1081.77,1045.59,-651.46,0_0
10,5,0.329,12280,37.0337,6309.57344,ngang,1cm,864.94,839.35,-541.17,0_0
10,5,0.2693,12280,38.4912,10000,ngang,1cm,699.05,681.19,-448.14,0_0
10,5,0.2183,12280,39.3842,15848.9319,ngang,1cm,560.62,548.68,-364.07,0_0
10,5,0.1767,12280,39.8373,25118.8643,ngang,1cm,449.87,442.05,-293.58,0_0
10,5,0.1426,12280,39.7934,39810.7171,ngang,1cm,360.51,355.5,-234.23,0_0
10,5,0.1149,12280,39.0253,63095.7344,ngang,1cm,288.83,285.74,-184.17,0_0
10,5,0.0934,12280,37.5017,100000,ngang,1cm,233.76,231.88,-143.86,0_0
10,5,0.0764,12280,35.2617,158489.319,ngang,1cm,190.55,189.44,-111.07,0_0
10,5,0.0697,12280,33.913,200000,ngang,1cm,173.6,172.75,-97.75,0_0
2,5,0.0118,12280,27.5189,20,doc,1cm,29.05,29.03,-13.45,0_0
2,5,1.8978,12280,28.3246,25.1188643,doc,1cm,7512.41,6077.13,-4647.61,0_0
2,5,1.6602,12280,27.1689,39.8107171,doc,1cm,6104.33,5243.0,-3584.28,0_0
2,5,1.4801,12280,25.8225,63.0957344,doc,1cm,5163.68,4613.17,-2854.5,0_0
2,5,1.326,12280,24.3128,100,doc,1cm,4432.03,4076.69,-2284.31,0_0
2,5,1.2035,12280,23.362,158.489319,doc,1cm,3892.79,3643.26,-1902.73,0_0
2,5,1.0915,12280,23.1171,251.188643,doc,1cm,3429.35,3243.18,-1628.95,0_0
2,5,0.9906,12280,23.6602,398.107171,doc,1cm,3034.01,2884.5,-1443.63,0_0
2,5,0.8916,12280,25.1444,630.957344,doc,1cm,2664.99,2537.86,-1312.41,0_0
2,5,0.791,12280,27.3148,1000,doc,1cm,2307.79,2198.25,-1198.35,0_0
2,5,0.6908,12280,30.0447,1584.89319,doc,1cm,1968.58,1874.78,-1089.18,0_0
2,5,0.5889,12280,33.1081,2511.88643,doc,1cm,1639.43,1562.55,-967.5,0_0
2,5,0.4882,12280,35.882,3981.07171,doc,1cm,1328.76,1270.83,-825.51,0_0
2,5,0.4007,12280,37.9229,6309.57344,doc,1cm,1069.86,1028.64,-687.33,0_0
2,5,0.3241,12280,39.2132,10000,doc,1cm,851.16,823.6,-556.82,0_0
2,5,0.2612,12280,39.7395,15848.9319,doc,1cm,676.87,659.1,-444.62,0_0
2,5,0.2106,12280,39.7079,25118.8643,doc,1cm,539.98,528.74,-352.68,0_0
2,5,0.1706,12280,39.1764,39810.7171,doc,1cm,433.79,426.75,-279.12,0_0
2,5,0.1387,12280,38.0153,63095.7344,doc,1cm,350.37,346.03,-219.21,0_0
2,5,0.1136,12280,36.2205,100000,doc,1cm,285.49,282.87,-171.04,0_0
2,5,0.0944,12280,34.0359,158489.319,doc,1cm,236.31,234.72,-133.91,0_0
2,5,0.0863,12280,32.8015,200000,doc,1cm,215.68,214.44,-118.22,0_0
2,5,2.6823,12280,18.7685,20,ngang,1cm,14211.78,11229.64,-7794.82,0_0
2,5,2.5493,12280,18.4171,25.1188643,ngang,1cm,12774.07,10492.55,-6763.46,0_0
2,5,2.3497,12280,17.6136,39.8107171,ngang,1cm,10887.19,9411.0,-5372.62,0_0
2,5,1.4612,12280,7.3999,63.0957344,ngang,1cm,5070.51,5021.7,-913.82,0_0
2,5,2.0496,12280,16.7028,100,ngang,1cm,8530.74,7759.69,-3779.56,0_0
2,5,1.9104,12280,16.988,158.489319,ngang,1cm,7593.12,6983.15,-3301.92,0_0
2,5,1.7801,12280,17.9184,251.188643,ngang,1cm,6788.92,6266.85,-2994.07,0_0
2,5,0.4614,12280,19.5095,398.107171,ngang,1cm,1248.4,1232.53,-453.47,0_0
2,5,1.515,12280,21.8672,630.957344,ngang,1cm,5338.36,4898.54,-2617.72,0_0
2,5,1.3644,12280,24.9607,1000,ngang,1cm,4608.55,4203.12,-2439.45,0_0
2,5,1.2023,12280,28.6092,1584.89319,ngang,1cm,3887.68,3528.37,-2224.48,0_0
2,5,1.0294,12280,32.5271,2511.88643,ngang,1cm,3183.66,2887.7,-1955.38,0_0
2,5,0.8584,12280,36.3286,3981.07171,ngang,1cm,2545.19,2319.39,-1658.96,0_0
2,5,0.6981,12280,39.5756,6309.57344,ngang,1cm,1992.76,1834.02,-1358.17,0_0
2,5,0.5571,12280,42.0052,10000,ngang,1cm,1539.8,1435.57,-1081.24,0_0
2,5,0.4421,12280,43.5278,15848.9319,ngang,1cm,1191.12,1125.16,-850.15,0_0
2,5,0.3476,12280,44.4027,25118.8643,ngang,1cm,917.49,877.17,-659.68,0_0
2,5,0.2727,12280,44.497,39810.7171,ngang,1cm,708.39,684.37,-507.38,0_0
2,5,0.2149,12280,43.7302,63095.7344,ngang,1cm,551.5,537.45,-388.24,0_0
2,5,0.1702,12280,42.0102,100000,ngang,1cm,432.74,424.74,-294.31,0_0
2,5,0.1362,12280,39.5629,158489.319,ngang,1cm,343.87,339.37,-222.22,0_0
2,5,0.1229,12280,38.1309,200000,ngang,1cm,309.45,306.05,-193.75,0_0
3,5,1.1672,12280,31.8378,20,doc,1cm,3739.62,3340.11,-2298.67,0_0
3,5,1.6142,12280,31.5922,25.1188643,doc,1cm,5854.56,4843.42,-3747.26,0_0
3,5,1.4007,12280,30.4833,39.8107171,doc,1cm,4778.87,4157.29,-2929.83,0_0
3,5,1.235,12280,28.6297,63.0957344,doc,1cm,4028.1,3640.14,-2316.4,0_0
3,5,0.791,12280,26.5789,100,doc,1cm,2307.79,2203.71,-1171.35,0_0
3,5,0.9778,12280,24.8316,158.489319,doc,1cm,2985.28,2827.19,-1475.97,0_0
3,5,0.5524,12280,23.9038,251.188643,doc,1cm,1525.2,1489.48,-678.52,0_0
3,5,0.798,12280,23.5952,398.107171,doc,1cm,2332.09,2247.11,-1070.3,0_0
3,5,0.721,12280,23.9792,630.957344,doc,1cm,2069.15,2001.07,-950.31,0_0
3,5,0.6478,12280,25.098,1000,doc,1cm,1827.81,1770.57,-862.83,0_0
3,5,0.5727,12280,26.8904,1584.89319,doc,1cm,1588.5,1539.79,-786.54,0_0
3,5,0.5009,12280,29.1015,2511.88643,doc,1cm,1367.17,1325.7,-716.58,0_0
3,5,0.4301,12280,31.5666,3981.07171,doc,1cm,1155.74,1121.51,-642.38,0_0
3,5,0.3622,12280,33.9344,6309.57344,doc,1cm,959.04,932.24,-561.09,0_0
3,5,0.301,12280,35.9616,10000,doc,1cm,786.61,766.64,-479.07,0_0
3,5,0.2475,12280,37.5915,15848.9319,doc,1cm,639.52,625.25,-401.31,0_0
3,5,0.202,12280,38.8108,25118.8643,doc,1cm,517.0,507.14,-331.25,0_0
3,5,0.163,12280,39.5251,39810.7171,doc,1cm,413.82,407.3,-267.97,0_0
3,5,0.1311,12280,39.4566,63095.7344,doc,1cm,330.65,326.51,-213.1,0_0
3,5,0.1057,12280,38.3245,100000,doc,1cm,265.21,262.69,-166.43,0_0
3,5,0.0857,12280,36.3025,158489.319,doc,1cm,214.15,212.67,-128.12,0_0
3,5,0.0778,12280,34.9946,200000,doc,1cm,194.1,192.97,-112.42,0_0
4,5,0.1125,12280,23.8805,20,doc,1cm,282.66,281.52,-116.59,0_0
4,5,1.6125,12280,24.426,25.1188643,doc,1cm,5845.46,5192.19,-3169.23,0_0
4,5,1.8817,12280,23.4295,39.8107171,doc,1cm,7410.22,6390.32,-4074.37,0_0
4,5,1.7061,12280,22.2317,63.0957344,doc,1cm,6360.52,5694.62,-3270.67,0_0
4,5,1.5639,12280,21.0176,100,doc,1cm,5589.1,5136.3,-2680.67,0_0
4,5,1.435,12280,20.612,158.489319,doc,1cm,4943.0,4609.68,-2276.06,0_0
4,5,0.6749,12280,20.9481,251.188643,doc,1cm,1916.2,1871.53,-773.54,0_0
4,5,1.1925,12280,22.1826,398.107171,doc,1cm,3846.07,3625.24,-1797.48,0_0
4,5,1.0806,12280,23.8038,630.957344,doc,1cm,3385.66,3194.4,-1644.79,0_0
4,5,0.9669,12280,26.1159,1000,doc,1cm,2944.02,2775.47,-1514.69,0_0
4,5,0.8488,12280,28.9878,1584.89319,doc,1cm,2510.9,2364.86,-1380.47,0_0
4,5,0.7281,12280,32.2336,2511.88643,doc,1cm,2093.0,1971.64,-1230.93,0_0
4,5,0.6099,12280,35.5071,3981.07171,doc,1cm,1706.01,1611.09,-1065.8,0_0
4,5,0.4993,12280,38.2873,6309.57344,doc,1cm,1362.32,1293.63,-890.53,0_0
4,5,0.4035,12280,40.2301,10000,doc,1cm,1077.99,1031.31,-724.61,0_0
4,5,0.3224,12280,41.3602,15848.9319,doc,1cm,846.39,816.32,-576.64,0_0
4,5,0.2574,12280,41.7272,25118.8643,doc,1cm,666.49,647.63,-454.48,0_0
4,5,0.2053,12280,41.4103,39810.7171,doc,1cm,525.81,514.28,-354.76,0_0
4,5,0.1645,12280,40.3604,63095.7344,doc,1cm,417.76,410.84,-275.13,0_0
4,5,0.1331,12280,38.6368,100000,doc,1cm,335.83,331.73,-212.81,0_0
4,5,0.1089,12280,36.3892,158489.319,doc,1cm,273.41,270.99,-164.36,0_0
4,5,0.0992,12280,35.0946,200000,doc,1cm,248.57,246.7,-144.71,0_0
4,5,0.5821,12280,25.7757,20,ngang,1cm,1618.01,1571.32,-773.34,0_0
4,5,1.8353,12280,16.6566,25.1188643,ngang,1cm,7121.52,6612.9,-2994.8,0_0
4,5,1.6352,12280,24.1532,39.8107171,ngang,1cm,5967.74,5297.66,-3221.25,0_0
4,5,1.4845,12280,22.923,63.0957344,ngang,1cm,5185.51,4736.08,-2623.72,0_0
4,5,1.3507,12280,21.7418,100,ngang,1cm,4545.14,4239.15,-2151.55,0_0
4,5,1.2287,12280,21.7308,158.489319,ngang,1cm,4000.86,3769.33,-1850.32,0_0
4,5,1.1202,12280,22.0734,251.188643,ngang,1cm,3545.56,3362.07,-1628.28,0_0
4,5,1.0177,12280,23.0138,398.107171,ngang,1cm,3138.23,2985.64,-1465.58,0_0
4,5,0.9143,12280,24.4395,630.957344,ngang,1cm,2748.02,2619.38,-1326.28,0_0
4,5,0.814,12280,26.3949,1000,ngang,1cm,2387.94,2277.55,-1209.43,0_0
4,5,0.7135,12280,28.8331,1584.89319,ngang,1cm,2044.04,1950.07,-1097.03,0_0
4,5,0.6138,12280,31.5845,2511.88643,ngang,1cm,1718.45,1640.81,-979.7,0_0
4,5,0.5188,12280,34.4759,3981.07171,ngang,1cm,1421.69,1359.89,-858.95,0_0
4,5,0.4318,12280,37.1567,6309.57344,ngang,1cm,1160.74,1113.87,-736.42,0_0
4,5,0.3519,12280,39.5185,10000,ngang,1cm,929.7,896.26,-613.54,0_0
4,5,0.2834,12280,41.3938,15848.9319,ngang,1cm,737.85,715.03,-501.25,0_0
4,5,0.2262,12280,42.7832,25118.8643,ngang,1cm,581.87,566.85,-403.3,0_0
4,5,0.1787,12280,43.4799,39810.7171,ngang,1cm,455.15,445.71,-318.09,0_0
4,5,0.14,12280,43.1893,63095.7344,ngang,1cm,353.74,348.12,-245.14,0_0
4,5,0.1105,12280,41.7935,100000,ngang,1cm,277.52,274.27,-186.93,0_0
4,5,0.0881,12280,39.2866,158489.319,ngang,1cm,220.25,218.44,-140.8,0_0
4,5,0.0791,12280,37.6839,200000,ngang,1cm,197.39,196.04,-121.78,0_0
5,5,0.0059,12280,27.5886,20,doc,1cm,14.51,14.5,-6.72,0_0
5,5,1.5122,12280,34.5142,25.1188643,doc,1cm,5324.22,4368.05,-3548.34,0_0
5,5,1.2858,12280,33.2179,39.8107171,doc,1cm,4251.15,3689.01,-2720.73,0_0
5,5,1.1129,12280,31.5731,63.0957344,doc,1cm,3515.84,3170.0,-2135.1,0_0
5,5,0.9691,12280,29.357,100,doc,1cm,2952.33,2742.15,-1667.63,0_0
5,5,0.8502,12280,27.4246,158.489319,doc,1cm,2515.89,2383.54,-1322.79,0_0
5,5,0.7589,12280,25.8455,251.188643,doc,1cm,2197.38,2108.32,-1083.62,0_0
5,5,0.6796,12280,24.6798,398.107171,doc,1cm,1931.65,1869.41,-903.38,0_0
5,5,0.6115,12280,24.1353,630.957344,doc,1cm,1711.11,1664.85,-775.63,0_0
5,5,0.5485,12280,24.3631,1000,doc,1cm,1513.1,1476.66,-684.23,0_0
5,5,0.4919,12280,25.332,1584.89319,doc,1cm,1339.93,1309.41,-621.4,0_0
5,5,0.4384,12280,27.0221,2511.88643,doc,1cm,1180.19,1153.61,-574.52,0_0
5,5,0.3829,12280,29.294,3981.07171,doc,1cm,1018.39,995.48,-527.5,0_0
5,5,0.328,12280,31.796,6309.57344,doc,1cm,862.12,843.07,-475.42,0_0
5,5,0.2757,12280,34.2329,10000,doc,1cm,716.63,701.58,-417.74,0_0
5,5,0.2284,12280,36.3268,15848.9319,doc,1cm,587.8,576.52,-357.9,0_0
5,5,0.1869,12280,37.9946,25118.8643,doc,1cm,476.85,468.8,-299.82,0_0
5,5,0.1513,12280,39.0149,39810.7171,doc,1cm,383.19,377.74,-245.23,0_0
5,5,0.1218,12280,39.2073,63095.7344,doc,1cm,306.61,303.09,-196.39,0_0
5,5,0.0982,12280,38.1996,100000,doc,1cm,246.01,243.86,-153.84,0_0
5,5,0.0798,12280,36.1973,158489.319,doc,1cm,199.17,197.9,-118.77,0_0
5,5,0.0725,12280,34.8951,200000,doc,1cm,180.68,179.7,-104.32,0_0
6,5,0.7117,12280,24.8059,20,doc,1cm,2038.03,1967.7,-962.58,0_0
6,5,1.9093,12280,25.0104,25.1188643,doc,1cm,7586.05,6388.37,-4369.6,0_0
6,5,1.7107,12280,23.2961,39.8107171,doc,1cm,6386.59,5657.12,-3401.0,0_0
6,5,1.5581,12280,21.8456,63.0957344,doc,1cm,5558.98,5079.1,-2745.62,0_0
6,5,1.4283,12280,20.4423,100,doc,1cm,4910.69,4587.13,-2242.86,0_0
6,5,1.3149,12280,19.9633,158.489319,doc,1cm,4381.69,4140.67,-1918.18,0_0
6,5,0.8338,12280,20.3082,251.188643,doc,1cm,2457.65,2386.34,-994.0,0_0
6,5,1.1143,12280,21.3477,398.107171,doc,1cm,3521.53,3351.71,-1570.05,0_0
6,5,1.008,12280,23.0182,630.957344,doc,1cm,3100.76,2952.0,-1445.81,0_0
6,5,0.9011,12280,25.316,1000,doc,1cm,2699.63,2567.29,-1339.19,0_0
6,5,0.7944,12280,28.1436,1584.89319,doc,1cm,2319.58,2202.52,-1235.18,0_0
6,5,0.684,12280,31.2119,2511.88643,doc,1cm,1946.14,1847.82,-1109.36,0_0
6,5,0.5775,12280,34.2511,3981.07171,doc,1cm,1603.55,1525.35,-970.66,0_0
6,5,0.4778,12280,37.0663,6309.57344,doc,1cm,1297.46,1238.88,-825.68,0_0
6,5,0.3328,12280,39.3859,10000,doc,1cm,875.64,846.21,-575.29,0_0
6,5,0.3152,12280,41.348,15848.9319,doc,1cm,826.22,797.59,-562.41,0_0
6,5,0.2514,12280,42.8132,25118.8643,doc,1cm,650.13,631.32,-451.8,0_0
6,5,0.1977,12280,43.6506,39810.7171,doc,1cm,505.54,493.79,-354.91,0_0
6,5,0.155,12280,43.3732,63095.7344,doc,1cm,392.86,385.86,-273.49,0_0
6,5,0.122,12280,41.7809,100000,doc,1cm,307.13,303.15,-207.05,0_0
6,5,0.0973,12280,39.0008,158489.319,doc,1cm,243.71,241.52,-155.02,0_0
6,5,0.0877,12280,37.2702,200000,doc,1cm,219.24,217.61,-134.14,0_0
6,5,2.1954,12280,26.8638,20,ngang,1cm,9612.61,7387.03,-5951.27,0_0
6,5,2.0238,12280,26.553,25.1188643,ngang,1cm,8350.33,6728.37,-5053.29,0_0
6,5,1.794,12280,12.8289,39.8107171,ngang,1cm,6871.59,6584.62,-2280.21,0_0
6,5,1.6162,12280,24.0534,63.0957344,ngang,1cm,5865.28,5224.67,-3146.75,0_0
6,5,1.4614,12280,22.704,100,ngang,1cm,5071.49,4650.73,-2536.46,0_0
6,5,1.3311,12280,22.0622,158.489319,ngang,1cm,4455.26,4154.32,-2126.61,0_0
6,5,1.2153,12280,22.1657,251.188643,ngang,1cm,3943.21,3710.44,-1849.47,0_0
6,5,1.104,12280,22.8778,398.107171,ngang,1cm,3479.75,3291.33,-1642.2,0_0
6,5,0.9992,12280,24.2463,630.957344,ngang,1cm,3066.93,2906.76,-1491.87,0_0
6,5,0.8814,12280,26.1843,1000,ngang,1cm,2627.98,2494.85,-1336.52,0_0
6,5,0.7746,12280,28.6579,1584.89319,ngang,1cm,2251.17,2137.47,-1213.06,0_0
6,5,0.6681,12280,31.4118,2511.88643,ngang,1cm,1893.92,1799.9,-1082.82,0_0
6,5,0.5612,12280,34.1412,3981.07171,ngang,1cm,1552.57,1479.83,-935.59,0_0
6,5,0.4645,12280,36.5452,6309.57344,ngang,1cm,1257.65,1204.1,-790.48,0_0
6,5,0.3807,12280,38.3196,10000,ngang,1cm,1012.06,974.52,-654.1,0_0
6,5,0.3083,12280,39.5779,15848.9319,ngang,1cm,806.94,781.78,-530.86,0_0
